"","Date","HomeTeam","AwayTeam","FTHG","FTAG","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","WHH","WHD","WHA"
"273","10/03/12","Everton","Tottenham",1,0,2.88,3.25,2.5,2.9,3.3,2.5,2.8,3.25,2.4,2.6,3.2,2.5,2.75,3.3,2.5,2.75,3.2,2.6
"269","04/03/12","Tottenham","Man United",1,3,2.88,3.4,2.4,2.85,3.4,2.5,2.75,3.25,2.5,2.8,3.2,2.3,2.8,3.25,2.5,3,3.2,2.4
"261","03/03/12","Liverpool","Arsenal",1,2,2,3.5,3.75,2.05,3.4,3.75,2,3.25,3.75,2.05,3.3,3.2,2.05,3.3,3.6,2.1,3.1,3.8
"257","26/02/12","Arsenal","Tottenham",5,2,2.5,3.4,2.75,2.5,3.4,2.8,2.4,3.3,2.8,2.4,3.2,2.7,2.5,3.25,2.75,2.4,3.5,2.8
"256","25/02/12","Wigan","Aston Villa",0,0,2.75,3.25,2.63,2.8,3.2,2.5,2.75,3.2,2.5,2.55,3.2,2.55,2.75,3.3,2.5,2.8,3,2.7
"2491","12/02/12","Aston Villa","Man City",0,1,5.5,3.6,1.67,5.25,3.8,1.67,5,3.6,1.67,4.4,3.5,1.7,5.5,3.5,1.62,4.8,3.75,1.7
"2431","11/02/12","Everton","Chelsea",2,0,3.25,3.3,2.25,3.4,3.25,2.25,3.1,3.25,2.25,3,3.2,2.2,3.4,3.2,2.1,3.1,3.3,2.3
"245","11/02/12","Man United","Liverpool",2,1,1.85,3.6,4.33,1.83,3.6,4.4,1.8,3.5,4.33,1.8,3.4,4,1.83,3.3,4.2,1.91,3.5,4
"240","06/02/12","Liverpool","Tottenham",0,0,2,3.4,3.8,2.15,3.3,3.6,2.05,3.3,3.5,2.15,3.2,3.1,2.15,3.3,3.4,2.1,3.2,3
"238","05/02/12","Chelsea","Man United",3,3,2.5,3.3,2.88,2.55,3.25,2.7,2.5,3.2,2.75,2.4,3.2,2.7,2.5,3.1,2.75,2.2,3.1,2.88
"232","04/02/12","Man City","Fulham",3,0,1.3,5.5,10,1.28,5.25,10,1.3,5,9,1.3,4.8,8.5,1.25,5.5,12,1.29,4.5,8
"237","04/02/12","Wigan","Everton",1,1,3.5,3.4,2.1,3.6,3.3,2.05,3.4,3.25,2.1,3.3,3.3,2,3.5,3.3,2.1,3.1,3.1,2.1
"2211","31/01/12","Everton","Man City",1,0,4.33,3.5,1.85,4.75,3.5,1.8,4.25,3.4,1.83,4.3,3.4,1.75,4.5,3.3,1.85,4.5,3.3,1.85
"224","31/01/12","Tottenham","Wigan",3,1,1.22,6,15,1.2,6,14.5,1.22,5.5,13,1.25,5,10,1.25,6,12,1.2,6,15
"219","22/01/12","Arsenal","Man United",1,2,2.8,3.4,2.5,2.85,3.4,2.5,2.75,3.25,2.5,2.65,3.15,2.5,2.88,3.1,2.62,2.9,2.9,2.62
"220","22/01/12","Man City","Tottenham",3,2,1.91,3.6,4,1.88,3.6,4.2,1.9,3.5,3.75,1.85,3.4,3.8,1.91,3.25,4.2,1.91,3.2,4.33
"210","16/01/12","Wigan","Man City",0,1,9,4.33,1.4,7.75,4.4,1.4,8,4.2,1.4,7,4.1,1.4,9,4.5,1.36,9.5,3.75,1.44
"201","14/01/12","Aston Villa","Everton",1,1,2.4,3.25,3,2.45,3.1,2.95,2.4,3.2,2.9,2.4,3.2,2.7,2.4,3.25,2.88,2.5,3.1,2.9
"200","11/01/12","Tottenham","Everton",2,0,1.53,3.8,7,1.57,3.8,6.75,1.55,3.75,6,1.57,3.6,5.4,1.53,3.8,6.5,1.5,3.75,5.5
